gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log2FoldChange_shrunk,symbol,entrez
ENSG00000120053.11,1614.0998694433322,-4.695878775993419,0.08961776094779775,-52.398974559616185,0,0,-4.692489224074218,GOT1,2805
ENSG00000113552.15,1795.6395481888158,-1.8362698143982739,0.05465597745025719,-33.596870828437325,1.8636649843965432e-247,1.718205932364393e-243,-1.833616749853014,GNPDA1,10007
ENSG00000164109.13,2229.577487497088,-1.6317648031794367,0.050839858340313446,-32.09617132008272,4.985969340502521e-226,3.064542955650866e-222,-1.6289915969761868,MAD2L1,4085
ENSG00000109790.16,1340.2200191912787,-1.9920180770515612,0.07245869108831021,-27.49177561907317,2.2017777252169727e-166,1.014964486881894e-162,-1.987376030175417,KLHL5,51088
ENSG00000167755.14,13576.563154969277,-1.650893099397425,0.06461857919380383,-25.54827295793787,5.738744810397541e-144,2.116334311178405e-140,-1.6504030439724613,KLK6,5653
ENSG00000080371.5,1346.6340736062873,-1.4421967099203628,0.05750261651773609,-25.08054063027779,8.110030890356643e-139,2.4923476597881024e-135,-1.4379484932403472,RAB21,23011
ENSG00000105058.11,1785.3813194906586,-1.454807926553108,0.05821322298495901,-24.99102183242796,7.654195598502389e-138,2.0162244662969365e-134,-1.4504151685687972,FAM32A,26017
ENSG00000123684.12,2031.2230952133311,-1.534511714038275,0.06160037703458623,-24.910751977649518,5.68982664420952e-137,1.3114339186572418e-133,-1.5341805889000535,LPGAT1,9926
ENSG00000170425.3,1058.1011846555614,-1.5928933272107568,0.06532283975958295,-24.384936923644343,2.47104496239171e-131,5.06262200683786e-128,-1.5876863181671563,ADORA2B,136
ENSG00000137492.7,2578.487797600334,-1.305613213602519,0.05465666982977092,-23.887536830708356,4.127288730258857e-126,7.610307689724307e-123,-1.3016120223425305,THAP12,5612
ENSG00000091140.13,3080.603960692823,-1.1083317784364313,0.04684570043505025,-23.65919963077701,9.49120885354967e-124,1.5909854550054762e-120,-1.1046623940495568,DLD,1738
ENSG00000081154.11,2986.4651722877593,-1.271641194897078,0.05395371939007864,-23.569110883779324,7.996084832691418e-123,1.2286650685833088e-119,-1.2664373262259503,PCNP,57092
ENSG00000120992.17,3316.8528013971936,-1.8921728849188235,0.08103681854526018,-23.34954553851369,1.3928862158341953e-120,1.9756483795205178e-117,-1.8843253832927949,LYPLA1,10434
ENSG00000129084.17,2916.8235409138265,-1.2817017286511776,0.058369970803677035,-21.958238303083686,7.224609490089582e-107,9.515326741982987e-104,-1.276957750677859,PSMA1,5682
ENSG00000163605.14,1627.0940060068167,-1.1902052607498885,0.057795032514262844,-20.59355638317473,3.134916947366928e-94,3.853648906166586e-91,-1.1847849104080044,PPP4R2,151987
ENSG00000184575.11,5968.520620419154,-1.0702829748358174,0.05214379486940754,-20.525605731541148,1.2716866951226386e-93,1.465539435710396e-90,-1.0660108903075523,XPOT,11260
ENSG00000131389.17,4015.281010866451,0.9598104547674048,0.047802243042754766,20.078774418784942,1.1315205636308594e-89,1.227300451340554e-86,0.9556062816011031,SLC6A6,6533
ENSG00000148158.16,591.5671252893557,-1.3580610942879587,0.06805064790912771,-19.956622545335097,1.3129135698300764e-88,1.3449340730053765e-85,-1.3516962000117703,SNX30,401548
ENSG00000169035.11,1398.6713548514315,-1.7064282381494311,0.08616262263837265,-19.804738828707272,2.709643204517201e-87,2.629637423583825e-84,-1.6983005012772956,KLK7,5650
ENSG00000118242.15,437.65137227780184,-1.6437324933872774,0.08313302303367648,-19.772317105819855,5.15529986066723e-87,4.752928706542153e-84,-1.6359403920185736,MREG,55686
ENSG00000105887.10,6632.989506360881,-1.1535946612526162,0.05966249296126417,-19.335341250349472,2.708700452981754e-83,2.3783679834538363e-80,-1.1470359855526306,MTPN,136319
ENSG00000064726.9,2325.0260115467477,-0.8785035139087785,0.04627622871345957,-18.98390465974301,2.3171795448315565e-80,1.942112437597685e-77,-0.8744246722747154,BTBD1,53339
ENSG00000169826.7,502.0096596097387,-1.554305862526219,0.0821287696742312,-18.925230083093517,7.068020760345026e-80,5.666401513043562e-77,-1.5470469539297373,CSGALNACT2,55454
ENSG00000105186.15,1634.7241291198998,-1.0498718823906374,0.05680666619425226,-18.481490865888276,2.910273589110319e-76,2.2359389462335488e-73,-1.042950520832074,ANKRD27,84079
ENSG00000131473.16,7883.908997882324,-0.9318561694220096,0.05049042269081938,-18.456097607427,4.6580501649002655e-76,3.435591479623839e-73,-0.9316815613901651,ACLY,47
ENSG00000198042.10,1371.0239644922585,-1.0103604552979386,0.055874445076084904,-18.082693330056678,4.362437111778283e-73,3.0938068424646063e-70,-1.0047446375217548,MAK16,84549
