ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,24/266,394/21468,0.06091370558375635,4.916148238616847,8.787631304565615,1.6047545311613241e-10,1.813098940980753e-7,1.609496631311391e-7,MMP1/FOXC2/ELN/MMP13/COL9A2/ADAMTS19/COL7A1/LAMA2/ITGA8/TNR/COL13A1/ADAMTS12/LUM/MFAP4/PXDN/MMP2/DDR1/NPNT/SULF1/COMP/NPHS1/TIE1/NID1/MMP3,24
GO:0043062,extracellular structure organization,24/266,395/21468,0.060759493670886074,4.903702293708955,8.771020689873584,1.6898910362746469e-10,1.813098940980753e-7,1.609496631311391e-7,MMP1/FOXC2/ELN/MMP13/COL9A2/ADAMTS19/COL7A1/LAMA2/ITGA8/TNR/COL13A1/ADAMTS12/LUM/MFAP4/PXDN/MMP2/DDR1/NPNT/SULF1/COMP/NPHS1/TIE1/NID1/MMP3,24
GO:0045229,external encapsulating structure organization,24/266,397/21468,0.060453400503778336,4.878998503816216,8.737966458388826,1.873036096054497e-10,1.813098940980753e-7,1.609496631311391e-7,MMP1/FOXC2/ELN/MMP13/COL9A2/ADAMTS19/COL7A1/LAMA2/ITGA8/TNR/COL13A1/ADAMTS12/LUM/MFAP4/PXDN/MMP2/DDR1/NPNT/SULF1/COMP/NPHS1/TIE1/NID1/MMP3,24
GO:0006936,muscle contraction,19/266,378/21468,0.05026455026455026,4.056689342403628,6.715788247756666,2.849942586328149e-7,2.069058317674236e-4,1.8367129983993781e-4,STC1/KCNMA1/ATP8A2/MYH13/CHRNB2/SMPX/NOS1/SSTR2/CALCA/LMOD1/NMU/NPNT/SULF1/COMP/GJA5/STAC/ACTA2/NMUR1/TRDN,19
GO:0035296,regulation of tube diameter,12/266,165/21468,0.07272727272727272,5.869583048530417,7.033175372936993,1.0767219926159667e-6,4.492399389654302e-4,3.987924498065603e-4,FOXC2/KCNMA1/SOD3/NPR1/AGTR1/NOS1/CALCA/CRP/MMP2/COMP/GJA5/ACTA2,12
GO:0097746,blood vessel diameter maintenance,12/266,165/21468,0.07272727272727272,5.869583048530417,7.033175372936993,1.0767219926159667e-6,4.492399389654302e-4,3.987924498065603e-4,FOXC2/KCNMA1/SOD3/NPR1/AGTR1/NOS1/CALCA/CRP/MMP2/COMP/GJA5/ACTA2,12
GO:0035150,regulation of tube size,12/266,167/21468,0.0718562874251497,5.799288640763586,6.973859459069434,1.2234258184063897e-6,4.492399389654302e-4,3.987924498065603e-4,FOXC2/KCNMA1/SOD3/NPR1/AGTR1/NOS1/CALCA/CRP/MMP2/COMP/GJA5/ACTA2,12
GO:0006939,smooth muscle contraction,10/266,111/21468,0.09009009009009009,7.27087990245885,7.419214551555566,1.2375755894364467e-6,4.492399389654302e-4,3.987924498065603e-4,KCNMA1/CHRNB2/SSTR2/CALCA/NMU/NPNT/SULF1/COMP/ACTA2/NMUR1,10
GO:0030282,bone mineralization,11/266,144/21468,0.0763888888888889,6.165100250626566,6.965683632123482,1.8786612411500248e-6,6.061813604777414e-4,5.38110102874434e-4,MMP13/PKDCC/FBN2/BGLAP/LTF/KL/ADGRV1/COMP/AHSG/OSR1/ROR2,11
GO:0030500,regulation of bone mineralization,9/266,96/21468,0.09375,7.566259398496241,7.2221940076258955,3.046126977793842e-6,8.845952743513316e-4,7.852594703807494e-4,PKDCC/FBN2/BGLAP/LTF/KL/ADGRV1/COMP/AHSG/OSR1,9
